index;filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
;id:000615,src:000000,op:flip1,pos:6599;2019-10-29 13:44:34.657858;0.0;4742;2333;19
;id:000500,src:000000,op:flip1,pos:6361;2019-10-29 13:44:34.657858;0.0;4742;2263;4
;id_0_5_000395;2019-10-29 14:21:33.794192;0 days 00:04:01.525789;4742;654;44
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-29 13:44:34.657858;0.0;4742;350;47
;id:000369,src:000000,op:flip1,pos:6093,+cov;2019-10-29 13:44:34.657858;0.0;4742;2325;2
;id:001404,src:000000,op:havoc,rep:8;2019-10-29 13:44:34.657858;0.0;4743;1054;76
;id:000731,src:000000,op:flip1,pos:7201;2019-10-29 13:44:34.657858;0.0;4743;2357;44
;id_3_8_003149_cov;2019-10-30 07:49:47.575147;0 days 17:32:15.306744;4830;695;206
;id:001143,src:000000,op:arith8,pos:6676,val:-28;2019-10-29 13:44:34.657858;0.0;4830;2336;13
;id_4_8_003380_cov;2019-10-30 11:35:02.988261;0 days 21:17:30.719858;4835;773;123
