,filename,m_timestamp,total_coverage,current_coverage,total_coverage_own_finds,running_s
2197,id_4_12_001282,2019-10-30 19:57:35.187858944,4854,534,3480,20799.0
2198,id_4_12_001287,2019-10-30 20:07:58.377983744,4854,651,3480,21422.0
2199,id_4_12_001288,2019-10-30 20:07:58.377983744,4854,650,3480,21422.0
2200,id_4_12_001289,2019-10-30 20:07:58.381983744,4854,651,3480,21422.0
2201,id_4_12_001290,2019-10-30 20:07:58.385983744,4854,651,3480,21422.0
2202,id_4_12_001291,2019-10-30 20:07:58.389983744,4854,648,3480,21422.0
2203,id_4_12_001292,2019-10-30 20:07:58.389983744,4854,649,3480,21422.0
2204,id_4_12_001293,2019-10-30 20:07:58.389983744,4854,649,3480,21422.0
2205,id_4_12_001295_cov,2019-10-30 20:10:17.408682496,4855,544,3481,21561.0
2206,id_4_12_001330_cov,2019-10-30 20:51:04.165655296,4856,612,3482,24008.0
2207,id_4_12_001332,2019-10-30 20:51:35.873356544,4856,562,3482,24039.0
2208,id_4_12_001345,2019-10-30 21:00:30.872316160,4856,558,3482,24574.0
2209,id_4_2_001298,2019-10-30 20:16:06.693405440,4856,820,3482,21910.0
2210,id_4_2_001337,2019-10-30 20:54:07.171931392,4856,863,3482,24191.0
2211,id_4_2_001370,2019-10-30 21:24:18.450830592,4856,1682,3482,26002.0
2212,id_4_3_001297,2019-10-30 20:14:30.346310400,4856,824,3482,21814.0
2213,id_4_3_001327,2019-10-30 20:49:48.846364672,4856,781,3482,23932.0
2214,id_4_3_001350,2019-10-30 21:07:03.896612864,4856,857,3482,24967.0
2215,id_4_4_001307_cov,2019-10-30 20:34:06.219244544,4857,1395,3483,22990.0
2216,id_4_4_001308_cov,2019-10-30 20:34:09.467213824,4858,1358,3484,22993.0
2217,id_4_4_001318,2019-10-30 20:40:15.771762432,4858,876,3484,23359.0
2218,id_4_5_001278,2019-10-30 19:54:38.165529344,4858,1453,3484,20622.0
2219,id_4_5_001322,2019-10-30 20:45:35.188754176,4858,929,3484,23679.0
2220,id_4_5_001335,2019-10-30 20:52:34.260806656,4858,778,3484,24098.0
